rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
37,airbytehq/airbyte,Python,669.2,S-Tier,2.41,21.64,25.68,3.6,338,516.51,1299.58,64,rising,0.2625,fair,medium,leader
38,keycloak/keycloak,Java,641.87,S-Tier,2.31,17.59,25.13,26.24,324,419.8,1271.75,467,rising,0.1786,fair,medium,leader
39,Homebrew/homebrew-core,Ruby,630.84,S-Tier,0.78,25.89,24.89,5.9,109,617.96,1259.76,105,stable,0.007,fair,low,leader
40,getsentry/sentry,Python,626.65,S-Tier,3.13,16.31,24.88,2.42,438,389.4,1259.03,43,rising,0.1307,fair,medium,leader
41,golang/go,Go,616.81,S-Tier,7.55,18.33,24.59,24.55,1058,437.67,1244.51,437,stable,0.0004,fair,low,leader
42,apache/doris,Java,599.0,S-Tier,3.58,11.6,24.35,2.87,501,276.98,1232.36,51,rising,0.3937,excellent,medium,leader
43,microsoft/TypeScript,TypeScript,598.54,S-Tier,8.25,19.2,24.21,20.79,1156,458.4,1225.38,370,stable,0.0454,fair,low,leader
44,ray-project/ray,Python,592.23,S-Tier,3.64,20.71,24.14,1.85,510,494.29,1221.58,33,stable,0.0088,fair,medium,leader
45,ClickHouse/ClickHouse,C++,592.02,S-Tier,3.75,22.31,24.12,3.65,525,532.52,1220.46,65,stable,0.0089,fair,low,leader
46,raycast/extensions,TypeScript,589.37,S-Tier,1.78,16.08,24.08,27.64,250,383.87,1218.39,492,rising,0.3932,fair,medium,leader
47,sourcegraph/sourcegraph,TypeScript,584.49,S-Tier,1.27,12.82,24.06,1.63,178,306.01,1217.53,29,stable,0.0494,fair,medium,leader
48,ValveSoftware/Dota2-Gameplay,Unknown,576.54,S-Tier,0.31,27.65,23.71,33.43,43,659.97,1199.76,595,stable,0.0,fair,low,leader
49,mdn/content,Python,569.95,S-Tier,1.11,22.48,23.66,10.51,156,536.61,1197.12,187,stable,-0.0196,fair,low,leader
50,CleverRaven/Cataclysm-DDA,C++,560.74,S-Tier,1.9,15.4,23.53,4.38,266,367.54,1190.68,78,declining,-0.0843,fair,low,leader
51,openvinotoolkit/openvino,C++,556.36,S-Tier,0.69,12.92,23.47,2.7,96,308.39,1187.61,48,rising,0.1288,fair,medium,leader
52,tgstation/tgstation,Python,555.14,S-Tier,0.24,16.61,23.41,3.88,33,396.59,1184.71,69,stable,0.01,fair,low,leader
53,nrwl/nx,TypeScript,553.83,S-Tier,2.51,18.14,23.32,18.26,352,432.99,1180.34,325,rising,0.2383,fair,medium,leader
54,cockroachdb/cockroach,Go,520.66,S-Tier,1.46,12.47,22.69,2.13,204,297.63,1148.48,38,stable,0.0128,fair,low,leader
55,facebook/react-native,JavaScript,518.38,S-Tier,6.33,18.12,22.53,16.74,887,432.47,1140.13,298,rising,0.5364,fair,medium,leader
56,expo/expo,TypeScript,513.88,S-Tier,3.64,24.32,22.39,18.65,510,580.6,1132.95,332,rising,0.1129,fair,high,leader
57,microsoft/vcpkg,C++,506.5,S-Tier,2.11,19.31,22.3,8.99,295,460.99,1128.48,160,stable,-0.0045,fair,low,leader
58,department-of-veterans-affairs/va.gov-team,JavaScript,504.12,S-Tier,0.05,10.92,22.34,5.34,7,260.73,1130.7,95,stable,-0.0357,fair,low,leader
59,tensorflow/tensorflow,Python,492.4,S-Tier,8.76,14.9,21.98,7.98,1227,355.63,1112.22,142,declining,-0.1034,fair,medium,leader
60,dotnet/maui,C#,491.38,S-Tier,2.89,21.15,21.92,17.25,405,504.94,1109.12,307,rising,0.1044,fair,medium,leader
61,quarkusio/quarkus,Java,482.66,S-Tier,1.1,14.62,21.82,3.76,154,348.96,1104.23,67,stable,-0.0326,fair,low,leader
62,hashicorp/terraform-provider-aws,Go,468.52,S-Tier,0.78,16.86,21.44,20.06,109,402.51,1084.85,357,stable,0.0034,fair,low,leader
63,Azure/azure-sdk-for-net,C#,465.43,S-Tier,0.41,16.46,21.41,4.1,58,392.95,1083.4,73,stable,0.0349,fair,low,leader
64,nodejs/node,JavaScript,461.01,S-Tier,5.69,17.98,21.25,4.66,797,429.3,1075.49,83,rising,0.0526,fair,medium,leader
65,dotnet/aspnetcore,C#,450.97,S-Tier,2.33,17.74,21.04,6.24,327,423.47,1064.61,111,declining,-0.1028,fair,low,leader
66,gravitational/teleport,Go,445.84,S-Tier,1.68,11.9,20.99,1.46,235,284.12,1062.05,26,rising,0.3414,fair,medium,leader
67,aws/aws-cdk,TypeScript,441.47,S-Tier,1.02,17.04,20.83,5.84,143,406.68,1053.99,104,declining,-0.0527,fair,low,leader
68,DefinitelyTyped/DefinitelyTyped,TypeScript,415.45,S-Tier,3.26,13.92,20.19,10.96,457,332.39,1021.96,195,declining,-0.1969,fair,low,leader
69,spack/spack,Python,413.47,S-Tier,0.66,11.17,20.21,3.93,92,266.56,1022.73,70,rising,0.0532,fair,medium,leader
70,pandas-dev/pandas,Python,411.15,S-Tier,3.66,16.77,20.08,3.26,513,400.28,1015.95,58,rising,0.0773,fair,medium,leader
71,appsmithorg/appsmith,TypeScript,408.81,S-Tier,4.79,11.49,20.06,2.98,671,274.34,1015.27,53,rising,0.1631,fair,medium,leader
72,Homebrew/homebrew-cask,Ruby,404.96,S-Tier,0.58,15.42,19.95,4.66,81,368.08,1009.79,83,declining,-0.0941,fair,low,leader
73,apache/airflow,Python,404.94,S-Tier,2.58,19.53,19.9,4.83,362,466.09,1006.9,86,stable,-0.0307,fair,low,leader
74,pingcap/tidb,Go,396.15,S-Tier,2.06,9.54,19.79,2.08,288,227.63,1001.34,37,stable,-0.0272,fair,low,leader
75,Azure/azure-sdk-for-python,Python,393.54,S-Tier,0.44,12.52,19.7,3.31,62,298.87,996.92,59,rising,0.3049,fair,medium,leader
76,ant-design/ant-design,TypeScript,392.87,S-Tier,5.32,19.18,19.54,17.42,745,457.75,988.92,310,rising,0.2534,fair,medium,leader
77,microsoft/playwright,TypeScript,387.95,S-Tier,7.09,22.16,19.37,19.21,993,528.94,980.05,342,rising,0.1597,fair,medium,leader
78,cilium/cilium,Go,381.56,S-Tier,2.32,10.99,19.4,2.53,325,262.34,981.58,45,rising,0.1545,fair,medium,leader
79,envoyproxy/envoy,C++,375.96,S-Tier,1.36,14.24,19.23,2.42,190,339.98,972.93,43,stable,-0.0178,fair,low,leader
80,Koenkk/zigbee2mqtt,JavaScript,367.49,S-Tier,0.82,16.02,18.94,19.49,115,382.43,958.71,347,rising,0.3098,fair,high,leader
81,openjournals/joss-reviews,Python,364.02,S-Tier,0.08,13.62,18.89,17.42,11,325.18,955.93,310,rising,0.1271,fair,high,leader
82,elastic/elasticsearch,Java,361.7,S-Tier,2.68,16.06,18.82,2.25,376,383.38,952.49,40,declining,-0.0569,fair,low,leader
83,microsoft/WSL,C++,355.04,S-Tier,1.53,13.62,18.65,13.99,215,325.16,943.7,249,rising,0.4918,fair,high,leader
84,Azure/azure-cli,Python,352.99,S-Tier,0.39,14.04,18.59,16.35,54,335.08,940.83,291,declining,-0.0518,fair,medium,leader
85,hashicorp/terraform-provider-azurerm,Go,345.8,S-Tier,0.44,17.06,18.36,16.69,62,407.3,929.25,297,stable,0.0044,excellent,low,leader
86,trinodb/trino,Unknown,344.19,S-Tier,1.6,14.02,18.38,1.97,224,334.7,930.27,35,rising,0.0922,fair,medium,leader
87,microsoft/onnxruntime,C++,336.08,S-Tier,2.08,13.21,18.16,4.04,292,315.24,919.0,72,stable,-0.0216,fair,medium,leader
88,microsoftgraph/microsoft-graph-docs,Markdown,329.37,S-Tier,0.16,13.69,17.99,3.71,22,326.83,910.18,66,declining,-0.1305,fair,medium,leader
89,open-telemetry/opentelemetry-collector-contrib,Go,328.67,S-Tier,0.66,10.6,18.0,2.87,92,253.01,910.85,51,rising,0.1555,fair,medium,leader
90,apple/swift,Swift,328.23,S-Tier,2.42,11.41,17.97,1.97,339,272.29,909.16,35,rising,0.0943,fair,medium,leader
91,demisto/content,Python,317.91,S-Tier,0.12,7.54,17.74,1.85,17,179.89,897.71,33,stable,-0.0147,fair,low,leader
92,nextcloud/server,PHP,316.43,S-Tier,2.01,15.3,17.56,13.76,281,365.15,888.62,245,rising,0.2492,fair,medium,leader
93,conda-forge/staged-recipes,Python,306.56,S-Tier,0.04,8.2,17.4,4.61,5,195.86,880.62,82,declining,-0.1194,fair,medium,leader
94,ceph/ceph,C++,304.24,S-Tier,1.04,10.96,17.3,1.91,145,261.54,875.6,34,declining,-0.0797,good,low,leader
95,backstage/backstage,TypeScript,302.66,S-Tier,2.69,13.37,17.21,3.82,377,319.16,870.85,68,rising,0.1168,fair,medium,leader
96,apache/spark,Scala,290.8,S-Tier,2.13,11.9,16.89,1.69,299,283.96,854.69,30,rising,0.0518,good,medium,leader
97,storybookjs/storybook,TypeScript,289.86,S-Tier,5.55,14.82,16.76,13.76,778,353.82,848.15,245,rising,0.2372,fair,medium,leader
98,apache/arrow,C++,288.24,S-Tier,1.51,10.89,16.83,1.8,211,260.04,851.72,32,stable,-0.0265,fair,low,leader
99,prisma/prisma,TypeScript,283.88,S-Tier,5.61,15.31,16.58,12.7,786,365.35,838.92,226,rising,0.1176,fair,medium,leader
100,JetBrains/swot,Java,281.71,S-Tier,0.18,14.04,16.58,10.62,25,335.15,839.18,189,rising,0.3705,fair,high,leader
101,argoproj/argo-cd,Go,280.82,S-Tier,2.14,10.65,16.57,14.38,300,254.2,838.43,256,rising,0.1093,fair,medium,leader
